occupation_construction_rate,occupation_public_rate,occupation_education_rate,occupation_manufacturing_rate,occupation_arts_rate,travel_time_average,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate,incentive_nonresidential_state_level,feedin_tariff,sales_tax,cooling_design_temperature,heating_fuel_gas_rate,heating_fuel_electricity_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_coal_coke_rate,electricity_consume_commercial,electricity_consume_industrial,electricity_consume_total,diversity,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,household_count,housing_unit_count,housing_unit_occupied_count,education_college_rate,race_white_rate,race_black_africa_rate,race_asian_rate,earth_temperature_amplitude,relative_humidity,atmospheric_pressure,elevation,total_area,land_area,number_of_solar_system_per_household,solar_panel_area_divided_by_area,solar_panel_area_per_capita
0.058252427,0.089805825,0.222491909,0.105987055,0.03802589,22,0.166123779,0.314332248,0.191368078,0.147394137,0.14495114,0.035830619,4,0,0,31.78,0.435875943,0.510477787,0.009220453,0.010058676,5396,37262,43780,0.386163878,0.050321826,0.112346401,0.020772382,0.066120538,1193,1459,1193,0.288214702,0.757167934,0.19953189,0.002925688,16.97,0.693,101.1,60,566.0685,529.6469,0.000838223,0.01880636,0.003114596
0.065286624,0.130573248,0.348726115,0.109872611,0.039808917,17,0.399673736,0.327895595,0.065252855,0.137030995,0.017944535,0.044045677,4,0,0,31.78,0.619284294,0.375745527,0,0,5396,37262,43780,0.295965923,0.098520085,0.085412262,0.026215645,0.093023256,1006,1245,1006,0.222593583,0.178435518,0.81987315,0,16.97,0.693,101.1,60,14.76725,14.48691,0,0,0
0.112426036,0.091293322,0.207100592,0.04057481,0.208791209,20,0.269565217,0.354782609,0.196521739,0.073913043,0.071304348,0.004347826,4,0,0,31.78,0.368462758,0.622028526,0,0,5396,37262,43780,0.561785121,0.07291323,0.09534807,0.029033322,0.057076872,1262,1441,1262,0.218119153,0.450016496,0.483008908,0.006928406,16.97,0.693,101.1,60,27.98097,25.51866,0,0,0
0.049861496,0.092797784,0.243767313,0.231301939,0,21,0.293871866,0.330083565,0.178272981,0.071030641,0.058495822,0.020891365,4,0,0,31.78,0.544676806,0.44391635,0,0.008555133,5396,37262,43780,0.320012608,0.117369043,0.120913746,0.023631351,0.063016936,1052,1259,1052,0.174723355,0.192201654,0.801890508,0,16.97,0.693,101.1,60,81.97093,74.65175,0.00095057,0.225867223,0.007292062
0.145197319,0.029784066,0.260610573,0.005956813,0.13179449,27,0.19516129,0.280645161,0.092741935,0.186290323,0.106451613,0.108064516,4,0,0,32.09,0.388888889,0.437751004,0.001338688,0.169344043,5396,37262,43780,0.182723983,0.076557864,0.052522255,0.041839763,0.096735905,1494,2586,1494,0.312982998,0.902373887,0.011869436,0.013353116,17.8,0.68,99.7,174,167.0035,149.7723,0,0,0
0.137055838,0.046954315,0.232233503,0.100253807,0.044416244,30,0.147896879,0.226594301,0.177747626,0.13568521,0.198100407,0.056987788,4,0,0,32.09,0.374157303,0.388764045,0.004494382,0.22247191,5396,37262,43780,0.087880183,0.060634328,0.076958955,0.011660448,0.064365672,890,1247,890,0.255332902,0.954757463,0.013059701,0.007462687,17.8,0.68,99.7,174,272.2399,270.0429,0,0,0
0.093687708,0.034551495,0.150166113,0.077076412,0.117607973,28,0.203703704,0.209876543,0.130315501,0.096021948,0.244855967,0.082304527,4,0,0,32.09,0.410477454,0.385278515,0,0.197612732,5396,37262,43780,0.046405287,0.079826229,0.104805865,0.008417051,0.088514798,1508,1913,1508,0.325086973,0.976377953,0,0,17.8,0.68,99.7,174,361.0459,360.0648,0,0,0
0.050929112,0.02752925,0.168616655,0.37577426,0.088093599,17,0.36627907,0.244186047,0.137354651,0.164244186,0.075581395,0.009447674,4,0,0,30.78,0.358527132,0.483204134,0.003875969,0.154392765,5396,37262,43780,0.078529997,0.056874511,0.112705453,0.016436212,0.039916514,1548,1926,1548,0.24742268,0.959561701,0.003391599,0.013566397,18.49,0.675,98.4,287,52.59574,51.53963,0.00129199,2.423565125,0.033255727
0.02044293,0.04088586,0.238500852,0.180579216,0.069278819,28,0.06268307,0.338605741,0.142355009,0.189220855,0.181605155,0.073227885,4,0,0,30.78,0.311111111,0.443274854,0.014619883,0.224561404,5396,37262,43780,0.077314004,0.109563015,0.067764408,0.012244036,0.0569981,1710,2155,1710,0.357535435,0.960312434,0,0.003166561,18.49,0.675,98.4,287,288.3474,286.6665,0,0,0
0.102096011,0.089925625,0.251521298,0.162271805,0.116294794,24,0.161098738,0.234595397,0.159613957,0.26874536,0.140311804,0.035634744,4,0,0,30.78,0.230448866,0.66173068,0,0.099953725,5396,37262,43780,0.054121937,0.025549738,0.067225131,0.023874346,0.14617801,2161,3642,2161,0.277819455,0.972356021,0,0.010680628,18.49,0.675,98.4,287,204.4127,164.0668,0.001388246,0.43598338,0.018663987
0.104734577,0.030129125,0.132950741,0.116212339,0.098517456,37,0.062140992,0.151436031,0.110182768,0.201044386,0.291383812,0.158746736,4,0,0,31.91,0.22238806,0.656218905,0,0.103482587,5396,37262,43780,0.122454365,0.080903649,0.086503186,0.022977409,0.045182468,2010,2598,2010,0.290495315,0.935701873,0.030893995,0,17.82,0.684,100.3,124,133.9636,127.4885,0,0,0
0.119852941,0.049264706,0.241176471,0.107352941,0.033823529,29,0.211631664,0.20355412,0.086429725,0.137318255,0.200323102,0.142164782,4,0,0,31.91,0.376923077,0.545299145,0,0.058119658,5396,37262,43780,0.117928237,0.079900125,0.11267166,0.028089888,0.063046192,1170,1465,1170,0.265258216,0.938202247,0.007490637,0.002808989,17.82,0.684,100.3,124,145.7386,144.747,0,0,0
0.14324693,0.040927694,0.165075034,0.175989086,0.030013643,35,0.029957204,0.171184023,0.225392297,0.212553495,0.182596291,0.128388017,4,0,0,32.09,0.293853073,0.587706147,0,0.113943028,5396,37262,43780,0.120271388,0.070422535,0.117370892,0.010432968,0.053729786,667,841,667,0.255742726,0.937402191,0.015649452,0,17.8,0.68,99.7,174,280.8311,279.1669,0,0,0
0.026574803,0.00492126,0.43503937,0.093503937,0.176181102,17,0.363436123,0.356828194,0.107929515,0.030837004,0.074889868,0.066079295,4,0,0,31.78,0.437073171,0.508292683,0,0.033170732,5396,37262,43780,0.519136534,0.122494432,0.116184113,0.010022272,0.071640683,1025,1129,1025,0.244251088,0.398663697,0.56644395,0.002227171,16.97,0.693,101.1,60,39.42096,39.18844,0,0,0
0.082832331,0.068804275,0.228456914,0.146960588,0.052772211,26,0.141765115,0.362751911,0.186240445,0.135510771,0.069492703,0.066018068,4,0,0,31.78,0.345238095,0.555357143,0,0.075595238,5396,37262,43780,0.357780065,0.039393198,0.119647663,0.010031808,0.054807928,1680,1918,1680,0.282600929,0.774161977,0.20675312,0.010276486,16.97,0.693,101.1,60,308.8299,308.4187,0,0,0
0.059980334,0.050147493,0.162241888,0.164208456,0.029498525,27,0.085427136,0.329648241,0.221105528,0.144723618,0.124623116,0.057286432,4,0,0,31.78,0.433638444,0.519450801,0,0.044622426,5396,37262,43780,0.399469223,0.086389568,0.093317033,0.008149959,0.057049715,874,1151,874,0.218368658,0.745721271,0.207823961,0,16.97,0.693,101.1,60,417.9009,411.4294,0,0,0
0.034077079,0.112778905,0.368356998,0.103853955,0.096146045,22,0.411276949,0.212271973,0.080845771,0.116915423,0.077529022,0.04933665,4,0,0,31.78,0.447469162,0.547001276,0,0.005529562,5396,37262,43780,0.408270935,0.289083113,0.099604222,0.031662269,0.051616095,2351,2710,2351,0.283208741,0.727242744,0.250164908,0.000329815,16.97,0.693,101.1,60,24.1086,23.933,0.000425351,0.477625494,0.001898892
0.016837482,0.03147877,0.330161054,0.11420205,0.088579795,18,0.409647779,0.215926493,0.119448698,0.084226646,0.137825421,0.028330781,4,0,0,31.78,0.465317919,0.502890173,0,0.00867052,5396,37262,43780,0.47442853,0.126416739,0.097646033,0.006684103,0.058994478,1384,1570,1384,0.267637688,0.663469922,0.289741354,0,16.97,0.693,101.1,60,45.40065,45.3862,0,0,0
0.020319303,0.037735849,0.228592163,0.233671988,0.156023222,16,0.30910482,0.33358837,0.201989288,0.094873757,0,0.055853099,4,0,0,31.17,0.491507431,0.508492569,0,0,5396,37262,43780,0.212039607,0.109875445,0.133451957,0.022241993,0.056939502,1884,2113,1884,0.294058069,0.885676157,0.044706406,0.016681495,18.15,0.677,98.6,265,3.530015,3.368318,0.001061571,23.72527241,0.018627795
0.126903553,0.012921089,0.182279649,0.160590678,0.050761421,27,0.15437902,0.158337457,0.191489362,0.223156853,0.223156853,0.030677882,4,0,0,31.17,0.146743979,0.565566459,0.011596789,0.233719893,5396,37262,43780,0.058456469,0.074716592,0.095671591,0.018550326,0.049124012,2242,2780,2242,0.31707903,0.970113363,0.001202336,0,18.15,0.677,98.6,265,186.6978,185.4051,0,0,0
0.053003534,0.029278142,0.224129228,0.115093387,0.135285209,19,0.042857143,0.47989418,0.335978836,0.097883598,0.024867725,0.01005291,4,0,0,31.17,0.547879943,0.363030014,0,0.089090043,5396,37262,43780,0.137016305,0.119358074,0.086058175,0.013440321,0.094082247,2099,2198,2099,0.415838926,0.927983952,0.014042126,0,18.15,0.677,98.6,265,25.99515,25.96042,0.001905669,6.177728559,0.032214841
0.120044053,0.085903084,0.220264317,0.122797357,0.039096916,23,0.117312073,0.177676538,0.362186788,0.271640091,0.043280182,0.01309795,4,0,0,31.17,0.415114423,0.493347525,0,0.075572113,5396,37262,43780,0.088105287,0.065967671,0.133027523,0.008519004,0.049366536,1879,2180,1879,0.268168835,0.954565312,0.012887724,0,18.15,0.677,98.6,265,57.66905,54.34615,0.000532198,0.889120261,0.011200245
0.073193473,0.007459207,0.354312354,0.162470862,0.042890443,25,0.071194379,0.281030445,0.256908665,0.261592506,0.07587822,0.041451991,4,0,0,31.17,0.354126941,0.571233996,0,0.06837374,5396,37262,43780,0.116010658,0.050086688,0.148911578,0.01560393,0.030437295,3671,3885,3671,0.332734889,0.939703333,0.012906954,0.008957812,18.15,0.677,98.6,265,35.03521,34.77889,0.002179243,5.161205363,0.01741706
0.064966443,0.061744966,0.328590604,0.126711409,0.040536913,22,0.090634441,0.305135952,0.336171381,0.167261741,0.068662455,0.025817083,4,0,0,31.17,0.465,0.517666667,0,0.017333333,5396,37262,43780,0.17619444,0.107276457,0.101725594,0.003016773,0.035959937,3000,3258,3000,0.364859272,0.906118016,0.007119585,0.041269458,18.15,0.677,98.6,265,25.54232,25.2815,0.001666667,4.929427767,0.015193559
0.03916309,0.057939914,0.238197425,0.177038627,0.034871245,23,0.172879525,0.385197191,0.279308482,0.056185845,0.033495408,0.032955159,4,0,0,31.17,0.65523359,0.34476641,0,0,5396,37262,43780,0.225658497,0.097806625,0.121530886,0.025067144,0.049910474,1691,1848,1691,0.366897006,0.877797672,0.013876455,0.021038496,18.15,0.677,98.6,265,8.767453,7.038802,0.001774098,10.41425496,0.020435652
0.021798365,0.071934605,0.161307902,0.178201635,0.076294278,16,0.311162522,0.425679584,0.124349335,0.089068826,0.037593985,0,4,0,0,32.17,0.408441962,0.585971446,0,0,5396,37262,43780,0.515132762,0.080755608,0.166469894,0.019126328,0.039433294,1611,1854,1611,0.322304833,0.60377804,0.345218418,0,17.3,0.684,100.1,138,1.385136,1.385136,0.000620732,20.75244995,0.006787477
0,0.015254237,0.269491525,0.184745763,0.123728814,18,0.203098107,0.524956971,0.12908778,0.034423408,0.060240964,0.025817556,4,0,0,32.17,0.421856639,0.57226792,0,0,5396,37262,43780,0.420010669,0.053453169,0.079470199,0.023651845,0.070009461,851,941,851,0.275095785,0.26064333,0.715231788,0,17.3,0.684,100.1,138,1.110527,1.100947,0.001175088,30.65196903,0.0161021
0.035824583,0.128474367,0.197035207,0.090796788,0.070413836,17,0.255047106,0.579407806,0.056527591,0.061911171,0,0.018169583,4,0,0,32.17,0.417445483,0.56635514,0,0.016199377,5396,37262,43780,0.507363517,0.079798515,0.145015907,0.022534464,0.062831389,1605,2012,1605,0.33989402,0.495227996,0.497348887,0,17.3,0.684,100.1,138,2.274506,2.274506,0.000623053,17.9560187,0.010827432
0.065648855,0.052671756,0.253689567,0.16692112,0.053180662,22,0.120053836,0.40538358,0.236069987,0.13512786,0.058950202,0.030686406,4,0,0,32.22,0.307096374,0.671211652,0,0.021691974,5396,37262,43780,0.176807715,0.083263145,0.122367946,0.023222236,0.025989652,3227,3530,3227,0.304655691,0.903982674,0.07664541,0,17.3,0.685,100.5,110,261.9468,255.1829,0.000619771,0.126580201,0.003989565
0.104827586,0.074482759,0.129655172,0.082758621,0.16137931,15,0.164116829,0.554937413,0.186369958,0.079276773,0.015299026,0,4,0,0,32.17,0.469565217,0.526708075,0,0,5396,37262,43780,0.502951432,0.177020958,0.181137725,0,0.021332335,805,971,805,0.239509361,0.617140719,0.339446108,0.000748503,17.3,0.684,100.1,138,2.398916,2.398916,0,0,0
0.065276519,0.036566939,0.266545784,0.142036869,0.045935328,28,0.099375,0.22125,0.2659375,0.221875,0.1175,0.0390625,4,0,0,32.22,0.288129861,0.652012175,0,0.058505242,5396,37262,43780,0.155898012,0.085792554,0.102477898,0.014942099,0.030506786,2957,3369,2957,0.314189819,0.917071349,0.050927655,0.005105217,17.3,0.685,100.5,110,343.2214,338.0046,0,0,0
0.041467305,0.087719298,0.151515152,0.118819777,0.155502392,12,0.366001735,0.496097138,0.055507372,0.038161318,0.044232437,0,4,0,0,32.17,0.668350168,0.324074074,0,0.007575758,5396,37262,43780,0.517350678,0.083656331,0.147932817,0.045542636,0.020671835,1188,1432,1188,0.373517787,0.571382429,0.394056848,0,17.3,0.684,100.1,138,0.8123899,0.8123899,0,0,0
0.076363636,0.032727273,0.173333333,0.055757576,0.075151515,16,0.210526316,0.439412485,0.221542228,0.05997552,0.05875153,0.009791922,4,0,0,32.17,0.71122449,0.275510204,0,0.013265306,5396,37262,43780,0.598721135,0.08567153,0.138047138,0.02506547,0.046389824,980,1160,980,0.205155747,0.481481481,0.400299289,0,17.3,0.684,100.1,138,2.31685,2.291641,0.002040816,23.95088769,0.020759676
0.106094808,0.040632054,0.216704289,0.148984199,0.009029345,28,0.153465347,0.215346535,0.126237624,0.205445545,0.202970297,0.069306931,4,0,0,31.17,0.576124567,0.411764706,0,0.012110727,5396,37262,43780,0.508915765,0.096350365,0.05620438,0.013868613,0.060583942,578,767,578,0.177753544,0.458394161,0.529927007,0,17.8,0.69,100.5,111,181.9891,178.3672,0,0,0
0.073878628,0.042216359,0.1882146,0.126649077,0.020228672,27,0.145,0.397,0.176,0.101,0.01,0.071,4,0,0,31.17,0.249255214,0.714001986,0,0.0367428,5396,37262,43780,0.233127761,0.07400722,0.098555957,0,0.055956679,1007,1064,1007,0.207978723,0.867148014,0.12166065,0,17.8,0.69,100.5,111,73.20905,72.26579,0,0,0
0.077389985,0.02276176,0.226100152,0.160849772,0.031866464,27,0.215288612,0.249609984,0.160686427,0.149765991,0.076443058,0.085803432,4,0,0,31.17,0.461414791,0.454983923,0.019292605,0.056270096,5396,37262,43780,0.020298723,0.060716898,0.093635699,0.030724214,0.063643014,622,783,622,0.136141038,0.989758595,0,0,17.8,0.69,100.5,111,197.7319,197.2839,0,0,0
0.07314578,0.127365729,0.248081841,0.051662404,0.059846547,17,0.397970085,0.253739316,0.144764957,0.099358974,0.032051282,0.064636752,4,0,0,31.17,0.403713893,0.546767538,0.015130674,0.006189821,5396,37262,43780,0.335930669,0.073514851,0.102722772,0.013861386,0.038118812,1454,1550,1454,0.220332851,0.79950495,0.15519802,0.021287129,17.8,0.69,100.5,111,9.622388,9.442396,0.000687758,0.938968211,0.002236415
0.066618911,0.060888252,0.235673352,0.142550143,0.049426934,31,0.150346955,0.272166538,0.122590594,0.124903624,0.171935235,0.146491904,4,0,0,31.17,0.342898135,0.632711621,0.008608321,0.013629842,5396,37262,43780,0.109678274,0.05456738,0.124208622,0.028640338,0.046126017,1394,1533,1394,0.189473684,0.942719325,0.037684655,0.000602954,17.8,0.69,100.5,111,153.2897,152.5568,0,0,0
0.04516129,0.045806452,0.298709677,0.090322581,0.07483871,22,0.345405768,0.315224681,0.073105298,0.069081154,0.085848424,0.061032864,4,0,0,31.17,0.564143854,0.430488459,0,0.005367687,5396,37262,43780,0.512049566,0.098414078,0.125135781,0.027373452,0.044101673,1863,2174,1863,0.237713489,0.507929611,0.479469911,0.004344992,17.8,0.69,100.5,111,6.464591,6.464591,0,0,0
0.125485123,0.043984476,0.236739974,0.119016818,0.009055627,35,0.112656467,0.125173853,0.246175243,0.208623088,0.207232267,0.029207232,4,0,0,31.22,0.357607282,0.501950585,0,0.140442133,5396,37262,43780,0.012127443,0.064337216,0.095951192,0.024403771,0.061009429,769,819,769,0.183890578,0.993899057,0,0,17.88,0.686,100.1,140,108.2568,106.1456,0,0,0
0.045009785,0.040117417,0.193737769,0.236790607,0.096868885,16,0.374871267,0.449021627,0.025746653,0.071060762,0.042224511,0.01338826,4,0,0,31.22,0.706938776,0.248979592,0.023673469,0.020408163,5396,37262,43780,0.492333817,0.086377603,0.078525094,0.042676681,0.044042335,1225,1642,1225,0.224437628,0.632639126,0.325025606,0,17.88,0.686,100.1,140,23.70278,22.65224,0.000816327,0.940901097,0.007614193
0.030692363,0.051391863,0.189150607,0.155603141,0.054960742,21,0.203030303,0.339393939,0.206818182,0.064393939,0.143181818,0.026515152,4,0,0,31.22,0.717839806,0.233616505,0.004854369,0.037621359,5396,37262,43780,0.138538316,0.080260919,0.089903573,0.015598412,0.064946115,1648,1847,1648,0.214630225,0.926545661,0.04849688,0,17.88,0.686,100.1,140,175.3238,173.7702,0,0,0
0.066621803,0.062584118,0.176312248,0.195827725,0.046433378,13,0.573529412,0.256302521,0.032913165,0.033613445,0.067927171,0.017507003,4,0,0,31.22,0.564516129,0.431761787,0,0.003722084,5396,37262,43780,0.431009925,0.087738721,0.128978688,0.040963188,0.044561306,1612,1864,1612,0.201547056,0.714088016,0.241627456,0.010517575,17.88,0.686,100.1,140,15.51238,15.40059,0.00248139,5.971998552,0.025640717
0.043189369,0.056478405,0.132890365,0.208194906,0.017718715,20,0.374141876,0.197940503,0.177345538,0.100686499,0.094965675,0.02173913,4,0,0,31.22,0.583410138,0.360368664,0,0.05437788,5396,37262,43780,0.344442975,0.079112819,0.227733147,0.00523926,0.027942717,1085,1413,1085,0.26481687,0.788159273,0.184247293,0,17.88,0.686,100.1,140,318.7055,315.9697,0.000921659,0.071939519,0.004004108
0.054982818,0.024054983,0.285223368,0.221076747,0.026345934,23,0.183673469,0.344537815,0.193277311,0.163265306,0.066026411,0.028811525,4,0,0,31.04,0.668734491,0.165012407,0,0.163771712,5396,37262,43780,0.042836825,0.085066163,0.072778828,0.025992439,0.040642722,806,985,806,0.218560861,0.97826087,0,0,18.29,0.68,100,155,169.4539,169.1722,0,0,0
0.031591738,0.012150668,0.266099635,0.255164034,0.027946537,28,0.110414053,0.222082811,0.196988708,0.195734003,0.202007528,0.061480552,4,0,0,31.04,0.590909091,0.230861244,0,0.159090909,5396,37262,43780,0.015283203,0.035366479,0.081496668,0.008200923,0.07227063,836,1095,836,0.225529101,0.992311635,0.000512558,0,18.29,0.68,100,155,216.3675,216.0019,0,0,0
0.064935065,0.006875477,0.184110008,0.145912911,0.076394194,16,0.490639626,0.204368175,0.080343214,0.096723869,0.062402496,0.060062402,4,0,0,31.04,0.637458194,0.330434783,0,0.016053512,5396,37262,43780,0,0.035159962,0.07507127,0.038327526,0.069369655,1495,1799,1495,0.189777964,1,0,0,18.29,0.68,100,155,15.28916,14.92345,0,0,0
0.030837004,0.058737151,0.173274596,0.230543319,0.073421439,19,0.385321101,0.123853211,0.145259939,0.220183486,0.074923547,0.050458716,4,0,0,31.04,0.732947977,0.252023121,0,0.015028902,5396,37262,43780,0.067706487,0.093793103,0.11862069,0.031724138,0.069425287,865,1021,865,0.280763791,0.965057471,0,0.00183908,18.29,0.68,100,155,9.209435,9.188746,0.002312139,4.914853953,0.020810588
0.062089552,0.035223881,0.251940299,0.20238806,0.046567164,22,0.466295609,0.161410019,0.077922078,0.115646259,0.081014224,0.072356215,4,0,0,31.04,0.671911422,0.312937063,0,0.015151515,5396,37262,43780,0.144804808,0.115730049,0.125994355,0.025660765,0.078778548,1716,2013,1716,0.29303042,0.923274314,0.004875545,0.002566076,18.29,0.68,100,155,14.65697,14.60911,0,0,0
0.071583514,0.029284165,0.189804772,0.175704989,0.041214751,20,0.358830146,0.231721035,0.112485939,0.139482565,0.112485939,0.040494938,4,0,0,31.04,0.591265398,0.298992161,0.007838746,0.098544233,5396,37262,43780,0.112272568,0.087927757,0.146387833,0.011406844,0.064163498,893,1133,893,0.215081967,0.941539924,0.017110266,0,18.29,0.68,100,155,216.4594,215.5695,0.001119821,0.102959069,0.010592423
0.129251701,0.02585034,0.271428571,0.093877551,0.101360544,32,0.083271923,0.218128224,0.262343405,0.201915991,0.081798084,0.081061164,4,0,0,31.3,0.382219338,0.279688514,0,0.338092148,5396,37262,43780,0.113814967,0.090617284,0.095061728,0.004938272,0.06962963,1541,2123,1541,0.309672674,0.939506173,0,0,18.08,0.683,99.3,209,334.1255,332.8449,0,0,0
0.062816189,0.035834739,0.312394604,0.086424958,0.123946037,21,0.292457196,0.354465525,0.130032392,0.065710319,0.066635817,0.075890791,4,0,0,31.3,0.45971564,0.40521327,0,0.13507109,5396,37262,43780,0.024470198,0.059269663,0.084831461,0.01741573,0.097893258,2954,3716,2954,0.266236232,0.987640449,0.000702247,0,18.08,0.683,99.3,209,166.9929,166.4182,0.001354096,0.490739903,0.011509843
