Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography,Geography
18.49,64,14.1,0.675,4.23,98.4,4.8,13.8,2208,2464,36.287,-92.578,287,52.59574,1.056108,51.53963
18.49,64,14.1,0.675,4.23,98.4,4.8,13.8,2208,2464,36.162,-92.649,287,288.3474,1.680842,286.6665
18.49,64,14.1,0.675,4.23,98.4,4.8,13.8,2208,2464,36.397,-92.708,287,204.4127,40.34594,164.0668
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.997,-92.678,124,133.9636,6.475081,127.4885
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.951,-92.877,124,145.7386,0.9915432,144.747
17.8,40,16.2,0.68,4.25,99.7,3.6,16,1669,2923,34.924,-93.086,174,280.8311,1.664224,279.1669
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.679,-91.707,60,39.42096,0.2325227,39.18844
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.593,-91.881,60,308.8299,0.4111641,308.4187
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.591,-91.614,60,417.9009,6.47159,411.4294
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.602,-91.828,60,24.1086,0.1755966,23.933
16.97,29,17.5,0.693,4.33,101.1,3.2,17.7,1396,3224,33.575,-91.744,60,45.40065,0.0144491,45.3862
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.443,-94.326,265,3.530015,0.1616973,3.368318
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.649,-94.085,265,186.6978,1.292733,185.4051
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.499,-94.309,265,25.99515,0.03473375,25.96042
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.512,-94.109,265,57.66905,3.322899,54.34615
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.506,-94.223,265,35.03521,0.2563174,34.77889
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.499,-94.406,265,25.54232,0.2608193,25.2815
18.15,51,15.1,0.677,4.32,98.6,4.5,14.9,1950,2684,35.43,-94.397,265,8.767453,1.728651,7.038802
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.458,-94.036,138,1.385136,0,1.385136
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.424,-94.019,138,1.110527,0.009579581,1.100947
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.444,-94.017,138,2.274506,0,2.274506
17.3,32,17.3,0.685,4.34,100.5,3.1,17,1423,3162,33.44,-93.854,110,261.9468,6.763865,255.1829
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.409,-94.032,138,2.398916,0,2.398916
17.3,32,17.3,0.685,4.34,100.5,3.1,17,1423,3162,33.201,-93.871,110,343.2214,5.216848,338.0046
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.437,-94.036,138,0.8123899,0,0.8123899
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.411,-94.013,138,2.31685,0.025209,2.291641
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.294,-90.597,111,181.9891,3.621857,178.3672
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.203,-90.782,111,73.20905,0.9432549,72.26579
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.297,-90.919,111,197.7319,0.4480704,197.2839
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.231,-90.758,111,9.622388,0.1799923,9.442396
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.346,-90.758,111,153.2897,0.7329509,152.5568
17.8,48,15.7,0.69,4.24,100.5,4.2,16,1842,2819,35.226,-90.808,111,6.464591,0,6.464591
17.88,46,15.6,0.686,4.25,100.1,4.3,15.8,1861,2792,35.541,-91.434,140,108.2568,2.111181,106.1456
17.88,46,15.6,0.686,4.25,100.1,4.3,15.8,1861,2792,35.607,-91.302,140,23.70278,1.050543,22.65224
17.88,46,15.6,0.686,4.25,100.1,4.3,15.8,1861,2792,35.775,-91.194,140,175.3238,1.553633,173.7702
17.88,46,15.6,0.686,4.25,100.1,4.3,15.8,1861,2792,35.625,-91.24,140,15.51238,0.1117905,15.40059
17.88,46,15.6,0.686,4.25,100.1,4.3,15.8,1861,2792,35.54,-91.205,140,318.7055,2.735786,315.9697
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.366,-90.196,155,169.4539,0.2816828,169.1722
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.379,-90.387,155,216.3675,0.3655256,216.0019
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.398,-90.582,155,15.28916,0.3657144,14.92345
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.267,-90.297,155,9.209435,0.02068735,9.188746
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.382,-90.2,155,14.65697,0.04785775,14.60911
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.389,-90.599,155,216.4594,0.8899531,215.5695
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.92,-92.236,209,334.1255,1.280589,332.8449
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.847,-92.119,209,166.9929,0.5747135,166.4182
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.324,-90.898,155,251.9882,2.157644,249.8305
18.29,58,14.8,0.68,4.2,100,4.4,14.9,2083,2634,36.247,-90.947,155,13.25274,0.4593793,12.79336
18.45,59,14.6,0.673,4.23,99.3,4.6,14.5,2124,2580,36.307,-91.175,212,379.7605,1.213274,378.5472
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.287,-93.481,266,242.7565,15.29478,227.4617
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.296,-93.745,266,147.1328,3.556942,143.5758
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.286,-93.732,266,14.75932,0.3874744,14.37184
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.187,-93.796,266,123.481,0.6212971,122.8597
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.135,-93.911,266,8.908239,0.086178,8.822061
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.097,-93.923,266,194.5218,3.488237,191.0336
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.33,-92.752,209,149.6701,3.326123,146.3439
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.321,-92.595,209,208.6154,1.031009,207.5844
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.213,-92.777,209,32.22391,1.524975,30.69894
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.174,-92.788,209,19.31105,1.59402,17.71703
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.134,-92.617,209,75.51456,2.968495,72.54607
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.122,-92.875,209,81.3326,3.973429,77.35917
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.05,-93.209,323,233.0502,1.063099,231.9871
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.878,-93.234,266,590.1358,1.22719,588.9086
17.81,39,16.3,0.675,4.28,99.4,4,16,1666,2943,34.039,-94.365,197,7.321148,0.05425083,7.266898
17.81,39,16.3,0.675,4.28,99.4,4,16,1666,2943,34.08,-94.241,197,221.3688,1.123756,220.2451
17.3,29,17.2,0.684,4.38,100.1,3.5,17,1434,3153,33.887,-94.113,138,188.9518,13.40735,175.5445
17.81,39,16.3,0.675,4.28,99.4,4,16,1666,2943,34.004,-94.359,197,163.6356,1.565688,162.0699
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.378,-93.22,266,82.08006,5.800629,76.27943
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.298,-93.108,266,7.602175,0.003348278,7.598827
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.305,-93.169,266,7.203809,1.457591,5.746219
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.271,-93.152,266,2.903962,0,2.903962
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.574,-93.017,266,408.8954,0.2271999,408.6682
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.228,-92.929,209,46.86105,2.166117,44.69493
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.224,-93.009,266,87.32692,2.554796,84.77213
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.225,-93.109,266,22.77017,0.5033486,22.26682
18.06,53,15,0.682,4.28,98.6,4.4,14.7,1966,2639,35.384,-93.109,266,47.41022,0.4373441,46.97288
18.08,50,15.2,0.683,4.25,99.3,4.3,15,1927,2684,35.363,-92.971,209,104.6448,0.3011053,104.3437
17.3,32,17.3,0.685,4.34,100.5,3.1,17,1423,3162,33.879,-93.947,110,168.6915,5.005244,163.6863
17.81,39,16.3,0.675,4.28,99.4,4,16,1666,2943,34.153,-94.038,197,418.5627,1.636389,416.9264
17.3,32,17.3,0.685,4.34,100.5,3.1,17,1423,3162,33.943,-93.851,110,8.059741,0.1188145,7.940927
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.392,-93.735,323,20.25426,0.06889337,20.18537
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.396,-93.733,323,153.882,7.428319,146.4537
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.379,-93.568,323,38.82299,0.03073837,38.79226
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.397,-93.453,323,167.0091,1.031734,165.9774
18.54,65,13.8,0.683,4.23,98,4.7,13.7,2257,2421,36.26,-93.487,323,258.8314,0.1532042,258.6782
17.34,31,17.4,0.681,4.34,100.9,2.8,17.2,1393,3206,33.574,-92.618,75,343.2874,2.360952,340.9264
17.34,31,17.4,0.681,4.34,100.9,2.8,17.2,1393,3206,33.534,-92.422,75,289.1261,1.471552,287.6546
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.278,-92.301,124,249.8262,0.174339,249.6518
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.3,-92.415,124,128.9267,0.1761981,128.7505
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.289,-92.552,124,236.1113,0.7071998,235.4041
17.82,40,16.4,0.684,4.27,100.3,3.3,16.2,1646,2957,34.301,-92.408,124,18.06596,0.0636837,18.00228
17.34,31,17.4,0.681,4.34,100.9,2.8,17.2,1393,3206,33.994,-92.614,75,363.9612,0.04401372,363.9171
17.34,31,17.4,0.681,4.34,100.9,2.8,17.2,1393,3206,33.918,-92.706,75,279.922,0.6567277,279.2653
17.34,31,17.4,0.681,4.34,100.9,2.8,17.2,1393,3206,33.828,-92.402,75,24.223,0.01897152,24.20403
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.531,-112.074,776,1.005076,0,1.005076
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.4,-111.881,1087,0.5880479,0,0.5880479
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.488,-111.987,1087,1.013266,0,1.013266
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.414,-112.073,776,1.003693,0.03261752,0.9710755
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.752,-111.553,1087,1058.022,12.29023,1045.732
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.535,-112.087,776,0.2507178,0,0.2507178
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.528,-112.091,776,0.5000228,0.002561788,0.497461
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.342,-111.868,1087,1.008126,0,1.008126
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.444,-111.796,1087,1.001799,0.002808507,0.9989904
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.531,-112.106,776,0.7254941,0,0.7254941
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.641,-111.664,1087,38.95881,0.3608279,38.59798
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.477,-112.16,776,0.4961811,0,0.4961811
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.976,-112.737,776,7.934931,0.00272897,7.932202
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.676,-112.393,776,0.7538244,0,0.7538244
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.819,-112.96,776,871.8176,0.1192909,871.6982
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.71,-112.7,776,146.2678,0.110819,146.157
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.736,-112.507,776,59.13783,0.07992547,59.0579
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.842,-112.553,776,175.8087,0.04822377,175.7605
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.815,-112.359,776,88.69394,0.8901887,87.80375
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.754,-112.31,776,8.590474,0.000776065,8.589699
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.709,-112.318,776,13.02367,0.4496106,12.57405
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.646,-112.427,776,0.942365,0,0.942365
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.655,-112.398,776,2.994466,0,2.994466
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.646,-112.385,776,0.637189,0.002050203,0.6351389
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.648,-112.364,776,1.036775,0.002456768,1.034318
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.923,-112.172,776,125.4807,1.503006,123.9777
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.43,-111.659,1087,2.963047,0.01967924,2.943368
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.227,-111.712,1087,2.998399,0,2.998399
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.328,-111.885,1087,0.9900378,0,0.9900378
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.531,-112.143,776,0.9935725,0,0.9935725
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.72,-111.976,1087,14.64104,0.004213147,14.63683
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.43,-111.827,1087,0.494583,0.002796152,0.4917868
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.418,-111.871,1087,0.7002121,0,0.7002121
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.415,-111.831,1087,0.9814432,0,0.9814432
26.35,2,19.9,0.339,5.33,95,4,23.6,909,3730,33.299,-113.008,557,1332.66,0,1332.66
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.538,-112.642,776,255.4447,0.04832223,255.3963
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.492,-112.488,776,10.40479,0.001608116,10.40318
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.386,-112.605,776,32.10385,0,32.10385
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.45,-112.518,776,4.210143,0,4.210143
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.386,-112.517,776,22.69009,0,22.69009
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.385,-112.582,776,2.832081,0,2.832081
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.371,-112.582,776,3.115725,0,3.115725
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.411,-111.918,1087,0.4972494,0,0.4972494
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.473,-112.056,776,1.005209,0,1.005209
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.327,-111.957,1087,1.08386,0,1.08386
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.419,-111.797,1087,0.4935957,0,0.4935957
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.313,-111.828,1087,0.5047363,0,0.5047363
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.297,-112.152,776,115.2761,0.06151187,115.2146
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.422,-112.117,776,3.162446,0.04728477,3.115161
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.437,-111.905,1087,3.33052,0.09181124,3.238709
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.458,-111.935,1087,0.4850393,0,0.4850393
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.327,-111.919,1087,1.98286,0,1.98286
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.429,-111.935,1087,0.9311213,0,0.9311213
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.43,-111.952,1087,0.9930556,0.00200889,0.9910467
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.415,-111.952,1087,0.9996502,0,0.9996502
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.415,-111.935,1087,0.9995162,0,0.9995162
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.418,-111.918,1087,0.3695955,0,0.3695955
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.418,-111.9,1087,0.5115522,0,0.5115522
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.411,-111.9,1087,0.5115892,0,0.5115892
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.227,-111.695,1087,3.071081,0,3.071081
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.415,-111.884,1087,0.4220772,0,0.4220772
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.415,-111.97,1087,3.049881,0.01699969,3.032882
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.386,-111.919,1087,1.032247,0,1.032247
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.386,-111.9,1087,1.012176,0,1.012176
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.4,-111.9,1087,1.029522,0.003483414,1.026038
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.394,-111.886,1087,0.7899411,0,0.7899411
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.644,-112.063,776,0.1260724,0,0.1260724
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.4,-111.918,1087,0.9946992,0,0.9946992
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.4,-111.935,1087,0.9955579,0,0.9955579
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.385,-111.97,1087,1.062774,0,1.062774
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.396,-111.952,1087,1.485889,0,1.485889
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.386,-111.935,1087,0.971867,0,0.971867
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.371,-111.937,1087,1.001503,0.02092404,0.9805787
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.371,-111.919,1087,1.031766,0.08196756,0.9497982
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.356,-111.903,1087,0.9801841,0.009366453,0.9708176
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.342,-111.92,1087,0.9974641,0,0.9974641
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.356,-111.937,1087,0.9996386,0.01072669,0.9889119
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.342,-111.902,1087,1.021165,0.02776306,0.9934015
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.367,-111.963,1087,0.8055581,0,0.8055581
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.371,-111.955,1087,0.7899477,0,0.7899477
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.474,-111.693,1087,0.9980845,0,0.9980845
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.356,-111.92,1087,1.00959,0,1.00959
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.342,-111.95,1087,2.533793,0.002098851,2.531694
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.651,-112.143,776,0.5039406,0,0.5039406
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.632,-112.16,776,0.9626292,0.006516247,0.9561129
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.356,-111.959,1087,1.138378,0,1.138378
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.517,-112.074,776,1.0075,0,1.0075
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.443,-111.944,1087,1.886261,0.03427352,1.851987
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.324,-111.902,1087,0.5049275,0,0.5049275
22.88,21,16.9,0.392,5.48,89.3,3.9,19.1,1453,2856,33.329,-111.73,1087,0.9817509,0,0.9817509
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.631,-112.326,776,1.420902,0.001133982,1.419768
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.619,-112.317,776,1.585468,0.03601754,1.549451
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.616,-112.333,776,0.6277747,0.002907349,0.6248674
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.613,-112.327,776,0.5636463,0,0.5636463
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.602,-112.32,776,0.5020313,0,0.5020313
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.602,-112.31,776,0.5521172,0,0.5521172
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.465,-112.401,776,5.890171,0.0015502,5.888621
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.497,-112.358,776,2.371363,0.03115999,2.340203
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.529,-112.333,776,6.148945,0.1101418,6.038803
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.5,-112.324,776,1.771761,0.003882644,1.767878
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.486,-112.327,776,1.490977,0.006127828,1.484849
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.471,-112.328,776,1.238544,0,1.238544
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.486,-112.422,776,8.223332,0.007989612,8.215343
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.417,-112.4,776,16.68334,0,16.68334
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.485,-112.368,776,0.9423507,0,0.9423507
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.486,-112.349,776,0.7457092,0,0.7457092
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.443,-112.401,776,2.965906,0.004873768,2.961032
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.428,-112.418,776,3.000847,0,3.000847
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.42,-112.401,776,5.59911,0.005292302,5.593817
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.632,-112.443,776,1.819676,9.00E-05,1.819586
24.9,7,18.7,0.362,5.34,92.6,4.1,21.6,1125,3366,33.632,-112.418,776,1.004363,0,1.004363
